Codes,Number of coding references,Aggregate number of coding references,Number of items coded,Aggregate number of items coded
Codes\\Attitude,0,993,0,17
Codes\\Attitude\Mixed,44,44,8,8
Codes\\Attitude\Negative,500,500,14,14
Codes\\Attitude\Neutral,27,27,1,1
Codes\\Attitude\Positive,422,422,12,12
Codes\\Balance,16,16,6,6
Codes\\Community change,62,62,18,18
Codes\\Economy,1,486,1,24
Codes\\Economy\Agriculture,20,20,8,8
Codes\\Economy\Fishing or aquaculture,184,368,19,19
Codes\\Economy\Fishing or aquaculture\Fishing industry decline,78,184,11,14
Codes\\Economy\Fishing or aquaculture\Fishing industry decline\Due to cost of doing business,13,13,7,7
Codes\\Economy\Fishing or aquaculture\Fishing industry decline\Due to environment impacts of fishing,14,14,7,7
Codes\\Economy\Fishing or aquaculture\Fishing industry decline\Due to foreign competition,22,22,8,8
Codes\\Economy\Fishing or aquaculture\Fishing industry decline\Due to natural variation,6,6,3,3
Codes\\Economy\Fishing or aquaculture\Fishing industry decline\Due to regulations,15,15,5,5
Codes\\Economy\Fishing or aquaculture\Fishing industry decline\Due to tourism and development,13,13,6,6
Codes\\Economy\Fishing or aquaculture\Fishing industry decline\Due to water quality decline,23,23,10,10
Codes\\Economy\Jobs and cost of living,86,86,16,16
Codes\\Economy\Tourism,11,11,6,6
Codes\\Infrastructure,43,43,11,11
Codes\\Memorable quotes,16,16,5,5
Codes\\Natural environment,1,325,1,23
Codes\\Natural environment\Ecosystem services,13,13,9,9
Codes\\Natural environment\Environmental change,42,42,14,14
Codes\\Natural environment\Environmental impacts,27,27,6,6
Codes\\Natural environment\Habitat,42,42,16,16
Codes\\Natural environment\Landscape,38,38,11,11
Codes\\Natural environment\Renewable energy,16,16,1,1
Codes\\Natural environment\Water quality,146,146,13,13
"Codes\\Policy, management",38,38,14,14
Codes\\Real estate development,313,313,27,27
Codes\\Sense of community Down East,0,85,0,17
Codes\\Sense of community Down East\Local connection,35,35,13,13
Codes\\Sense of community Down East\Local identity,43,43,14,14
Codes\\Sense of community Down East\Local knowledge,7,7,5,5